t|Main,Q_BESS1|BESS_1,V_BESS1|BESS_1,freq_BESS_1|BESS_1,Vrms_BESS_1|BESS_1,P_BESS1|BESS_1
11.77,0.313572638,1.007929307,59.5785178,1.00593579,6.874668513
11.771,0.197702027,1.008062178,59.55478147,1.00758821,6.828613706
11.772,0.216612086,1.007800974,59.53402793,1.007537845,6.896478322
11.773,0.23898739,1.008005503,59.53777631,1.006087824,6.859039568
11.774,0.134995097,1.008020037,59.54105366,1.007882255,6.862869727
11.775,0.208700296,1.007738773,59.54391916,1.00667394,6.924858073
11.776,0.206300672,1.008060494,59.54642457,1.006227556,6.856612996
11.777,0.127043789,1.007896968,59.51820939,1.007950065,6.876891245
11.778,0.1887107,1.007720063,59.49353983,1.005876011,6.92255589
11.779,0.13467742,1.007983629,59.49472734,1.006433514,6.860451472
11.78,0.074420054,1.007777222,59.49576562,1.007777979,6.920438922
11.781,0.162234038,1.00772065,59.48685061,1.00534919,6.944208376
11.782,0.068438035,1.007898308,59.47905589,1.006623954,6.887215608
11.783,0.055389335,1.007625329,59.47224069,1.007380772,6.959782716
11.784,0.110550564,1.007679515,59.4662819,1.005360044,6.96085394
11.785,0.015292691,1.007823618,59.46494703,1.006959016,6.942602952
11.786,0.070704891,1.007534407,59.46377991,1.006888756,7.01952821
11.787,0.137823238,1.007742915,59.48452161,1.005434935,6.973371429
11.788,0.043644415,1.00775634,59.50265682,1.007226531,6.954901276
11.789,0.103065049,1.007502624,59.5185131,1.006128495,7.008610411
11.79,0.094321367,1.007806154,59.5224842,1.005629992,6.93800417
11.791,0.015589982,1.007694229,59.52595628,1.007360248,6.961113714
11.792,0.114241653,1.007534819,59.52899204,1.005438444,6.992987735
11.793,0.066561688,1.007800546,59.54033483,1.005939249,6.906823918
11.794,0.018248899,1.007586657,59.55025225,1.007331479,6.94245921
11.795,0.075718455,1.007521144,59.5589234,1.005081026,6.954387362
11.796,-0.012955492,1.007718784,59.55191358,1.006340338,6.898647416
11.797,-0.01993388,1.007462317,59.54578465,1.007118061,6.965985835
11.798,0.064459884,1.007522655,59.54926821,1.004954698,6.949437929
